CompanyIN;LegalFormID;LegalFormName;EmployeeLowerBound;ActivityScore;NaceCode;Nace;NaceSectionCode;NaceSection
2013304;101;Fyz. os. podnikající dle živ. zákona;0;56;74300;[74300] Překladatelské a tlumočnické činnosti;M;[M] Profesní, vědecké a technické činnosti
2019981;112;Společnost s r.o.;1;60;7112;[7112] Inženýrské činnosti a související technické poradenství;M;[M] Profesní, vědecké a technické činnosti
2071185;112;Společnost s r.o.;25;90;86220;[86220] Specializovaná ambulantní zdravotní péče;Q;[Q] Zdravotní a sociální péče
2100126;112;Společnost s r.o.;6;34;4520;[4520] Opravy a údržba motorových vozidel, kromě motocyklů;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
2155249;101;Fyz. os. podnikající dle živ. zákona;0;40;74909;[74909] Jiné profesní, vědecké a technické činnosti j. n.;M;[M] Profesní, vědecké a technické činnosti
2213877;112;Společnost s r.o.;NULL;67;431;[431] Demolice a příprava staveniště;F;[F] Stavebnictví
2216167;112;Společnost s r.o.;NULL;80;47750;[47750] Maloobchod s kosmetickými a toaletními výrobky;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
2257211;112;Společnost s r.o.;NULL;9;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
2265796;932;Evropská společnost;NULL;8;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
6786502;112;Společnost s r.o.;NULL;71;581;[581] Vydávání knih, period. publikací, ost. vydavatelské činnosti;J;[J] Informační a komunikační činnosti
6815171;161;Ústav;1;22;9499;[9499] Činnosti ost. organizací za účelem prosaz. spol.zájmů j. n.;S;[S] Ostatní činnosti
6858716;112;Společnost s r.o.;1;38;620;[620] Činnosti v oblasti informačních technologií;J;[J] Informační a komunikační činnosti
6858741;112;Společnost s r.o.;50;89;28120;[28120] Výroba hydraulických a pneumatických zařízení;C;[C] Zpracovatelský průmysl
6859895;105;Fyz.osoba ost.;0;40;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
6989951;101;Fyz. os. podnikající dle živ. zákona;0;40;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
7038640;121;Akciová společnost;1;56;4120;[4120] Výstavba bytových a nebytových budov;F;[F] Stavebnictví
7038801;932;Evropská společnost;1;40;68320;[68320] Správa nemovitostí na základě smlouvy nebo dohody;L;[L] Činnosti v oblasti nemovitostí
7068531;105;Fyz.osoba ost.;0;28;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
7080867;112;Společnost s r.o.;NULL;88;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
7080981;112;Společnost s r.o.;1;63;256;"[256] Povrchová úprava a zušlechťování kovů; obrábění";C;[C] Zpracovatelský průmysl
7116331;112;Společnost s r.o.;10;89;8559;[8559] Ostatní vzdělávání j. n.;P;[P] Vzdělávání
7121318;112;Společnost s r.o.;NULL;34;4690;[4690] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
7193114;932;Evropská společnost;NULL;47;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
7198001;112;Společnost s r.o.;NULL;20;8129;[8129] Ostatní úklidové činnosti;N;[N] Administrativní a podpůrné činnosti
7215967;112;Společnost s r.o.;NULL;22;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
7220022;112;Společnost s r.o.;1;55;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
7241321;112;Společnost s r.o.;1;53;9602;[9602] Kadeřnické, kosmetické a podobné činnosti;S;[S] Ostatní činnosti
7256965;112;Společnost s r.o.;6;34;731;[731] Reklamní činnosti;M;[M] Profesní, vědecké a technické činnosti
7261870;112;Společnost s r.o.;1;53;93290;[93290] Ostatní zábavní a rekreační činnosti j. n.;R;[R] Kulturní, zábavní a rekreační činnosti
7267886;112;Společnost s r.o.;NULL;40;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
7295405;112;Společnost s r.o.;25;67;62020;[62020] Poradenství v oblasti informačních technologií;J;[J] Informační a komunikační činnosti
7295405;112;Společnost s r.o.;25;67;62020;[62020] Poradenství v oblasti informačních technologií;J;[J] Informační a komunikační činnosti
7325410;112;Společnost s r.o.;1;34;620;[620] Činnosti v oblasti informačních technologií;J;[J] Informační a komunikační činnosti
7406916;121;Akciová společnost;NULL;40;620;[620] Činnosti v oblasti informačních technologií;J;[J] Informační a komunikační činnosti
7446292;112;Společnost s r.o.;25;97;4690;[4690] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
7545746;112;Společnost s r.o.;NULL;22;711;[711] Architektonické,inženýrské činnosti,souv.technic.poradenství;M;[M] Profesní, vědecké a technické činnosti
7566999;112;Společnost s r.o.;1;85;2511;[2511] Výroba kovových konstrukcí a jejich dílů;C;[C] Zpracovatelský průmysl
7574126;112;Společnost s r.o.;1;40;49410;[49410] Silniční nákladní doprava;H;[H] Doprava a skladování
16123697;105;Fyz.osoba ost.;NULL;9;71110;[71110] Architektonické činnosti;M;[M] Profesní, vědecké a technické činnosti
16175387;105;Fyz.osoba ost.;NULL;9;71110;[71110] Architektonické činnosti;M;[M] Profesní, vědecké a technické činnosti
16458842;101;Fyz. os. podnikající dle živ. zákona;1;58;15120;[15120] Výroba brašnářských, sedlářských a podobných výrobků;C;[C] Zpracovatelský průmysl
16520335;101;Fyz. os. podnikající dle živ. zákona;0;20;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
16898371;101;Fyz. os. podnikající dle živ. zákona;0;9;43120;[43120] Příprava staveniště;F;[F] Stavebnictví
16916794;101;Fyz. os. podnikající dle živ. zákona;0;28;96040;[96040] Činnosti pro osobní a fyzickou pohodu;S;[S] Ostatní činnosti
17049776;112;Společnost s r.o.;NULL;0;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
18595219;112;Společnost s r.o.;NULL;38;49410;[49410] Silniční nákladní doprava;H;[H] Doprava a skladování
18637396;101;Fyz. os. podnikající dle živ. zákona;0;55;47620;[47620] Maloobchod s novinami, časopisy a papírnickým zbožím;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
18907768;105;Fyz.osoba ost.;0;20;69200;"[69200] Účetnické a auditorské činnosti; daňové poradenství";M;[M] Profesní, vědecké a technické činnosti
22739254;706;Spolek;NULL;55;9499;[9499] Činnosti ost. organizací za účelem prosaz. spol.zájmů j. n.;S;[S] Ostatní činnosti
26443252;112;Společnost s r.o.;1;60;46430;[46430] Velkoobchod s elektrospotřebiči a elektronikou;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
26447371;112;Společnost s r.o.;20;73;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
26451808;112;Společnost s r.o.;NULL;22;47240;[47240] MO s chlebem, pečivem, cukrářskými výrobky a cukrovinkami;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
26460025;112;Společnost s r.o.;6;91;4778;[4778] Ostatní maloobchod s novým zbožím ve specializ. prodejnách;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
26473879;112;Společnost s r.o.;20;60;46360;[46360] Velkoobchod s cukrem, čokoládou a cukrovinkami;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
26477980;101;Fyz. os. podnikající dle živ. zákona;0;50;8690;[8690] Ostatní činnosti související se zdravotní péčí;Q;[Q] Zdravotní a sociální péče
26524490;706;Spolek;1;58;85592;[85592] Environmentální vzdělávání;P;[P] Vzdělávání
26601095;706;Spolek;NULL;60;94999;[94999] Činnosti ostatních organizací j. n.;S;[S] Ostatní činnosti
26617871;706;Spolek;NULL;22;9499;[9499] Činnosti ost. organizací za účelem prosaz. spol.zájmů j. n.;S;[S] Ostatní činnosti
26631997;141;Obecně prospěšná spol.;25;96;9499;[9499] Činnosti ost. organizací za účelem prosaz. spol.zájmů j. n.;S;[S] Ostatní činnosti
26631997;141;Obecně prospěšná spol.;25;96;9499;[9499] Činnosti ost. organizací za účelem prosaz. spol.zájmů j. n.;S;[S] Ostatní činnosti
26703793;112;Společnost s r.o.;NULL;47;68310;[68310] Zprostředkovatelské činnosti realitních agentur;L;[L] Činnosti v oblasti nemovitostí
26708698;112;Společnost s r.o.;1;60;59110;[59110] Produkce filmů, videozáznamů a televizních programů;J;[J] Informační a komunikační činnosti
26718197;112;Společnost s r.o.;6;56;69200;"[69200] Účetnické a auditorské činnosti; daňové poradenství";M;[M] Profesní, vědecké a technické činnosti
26737892;112;Společnost s r.o.;1;76;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
26764407;121;Akciová společnost;NULL;73;68202;[68202] Pronájem vlastních, pronajat.nemovitostí s nebyt. prostory;L;[L] Činnosti v oblasti nemovitostí
26771845;112;Společnost s r.o.;250;99;82200;[82200] Činnosti zprostředkovatelských středisek po telefonu;N;[N] Administrativní a podpůrné činnosti
26782766;112;Společnost s r.o.;NULL;64;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
44738706;112;Společnost s r.o.;25;96;46460;[46460] Velkoobchod s farmaceutickými výrobky;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
44796391;112;Společnost s r.o.;20;97;46520;[46520] VO s elektronickým a telekomunikačním zařízením a jeho díly;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
44851057;121;Akciová společnost;25;91;43220;[43220] Instalace vody, odpadu, plynu, topení a klimatizace;F;[F] Stavebnictví
45283184;101;Fyz. os. podnikající dle živ. zákona;0;9;33200;[33200] Instalace průmyslových strojů a zařízení;C;[C] Zpracovatelský průmysl
45285781;101;Fyz. os. podnikající dle živ. zákona;0;28;46490;[46490] Velkoobchod s ostatními výrobky převážně pro domácnost;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
45290318;101;Fyz. os. podnikající dle živ. zákona;0;9;49410;[49410] Silniční nákladní doprava;H;[H] Doprava a skladování
45310742;112;Společnost s r.o.;NULL;22;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
45314454;112;Společnost s r.o.;10;78;95120;[95120] Opravy komunikačních zařízení;S;[S] Ostatní činnosti
45476080;112;Společnost s r.o.;1;9;4778;[4778] Ostatní maloobchod s novým zbožím ve specializ. prodejnách;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
45786721;112;Společnost s r.o.;25;84;33120;[33120] Opravy strojů;C;[C] Zpracovatelský průmysl
45794952;121;Akciová společnost;10;56;64992;[64992] Obchodování s cennými papíry na vlastní účet;K;[K] Peněžnictví a pojišťovnictví
68406002;706;Spolek;NULL;47;93110;[93110] Provozování sportovních zařízení;R;[R] Kulturní, zábavní a rekreační činnosti
68414633;101;Fyz. os. podnikající dle živ. zákona;1;56;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
68414633;101;Fyz. os. podnikající dle živ. zákona;1;56;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
68754515;105;Fyz.osoba ost.;1;75;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
68854587;101;Fyz. os. podnikající dle živ. zákona;0;22;18140;[18140] Vázání a související činnosti;C;[C] Zpracovatelský průmysl
